SEQN,Gender,Age,Race,Month of Exam,Active Duty,Deployed,Birth Country,Citizenship,TimeUS,EduKids,EduAdult,Marital Status,Language,NumbHH,HH Gender,HH Age,HH Edu,HH Marital,HH Sp Edu,Int Weight,MEC Weight,AHH Income,FAM Income
102529,1,80,4,1,2,0,1,1,0,0,2,3,1,6,2,4,2,2,0,21382.55767,22242.22706,8,8
102530,2,44,3,0,2,0,1,1,0,0,5,3,1,2,2,3,3,2,0,209430.2685,0,9,9
102531,2,10,4,2,0,0,1,1,0,5,0,0,1,5,1,3,2,1,3,9032.242789,9425.226294,15,15
102532,2,34,4,1,1,2,1,1,0,0,4,1,1,4,2,2,2,1,0,15984.54964,16550.00275,7,7
102533,1,55,1,2,2,0,2,2,5,0,1,1,2,3,2,3,1,1,1,29698.07599,30329.62492,0,0
102534,1,19,1,2,2,0,1,1,0,13,0,0,1,5,1,3,2,1,2,16907.9725,17259.12223,15,15
102535,1,4,7,1,0,0,1,1,0,0,0,0,1,4,2,2,3,1,2,9133.068729,11558.72533,15,15
102536,1,2,1,1,0,0,1,1,0,0,0,0,2,4,2,2,2,1,0,14545.84727,16727.84753,7,7
102537,2,1,7,1,0,0,1,1,0,0,0,0,1,5,1,2,2,1,3,15973.30706,14752.37885,15,15
102538,2,14,4,1,0,0,1,1,0,7,0,0,1,4,1,3,3,1,3,28750.64818,30195.80575,15,15
102539,2,11,3,2,0,0,1,1,0,5,0,0,1,5,1,3,3,1,3,56055.39203,62255.09407,15,15
102540,2,10,4,1,0,0,1,1,0,4,0,0,1,5,2,2,2,3,0,14489.71973,15101.75508,2,2
102541,1,26,7,1,2,0,1,1,0,0,2,5,1,2,1,2,1,3,0,72225.14241,85412.59277,4,2
102542,2,66,2,1,2,0,2,2,4,0,1,1,2,6,1,4,0,1,1,8477.455329,8892.374315,7,7
102543,2,12,4,2,0,0,1,1,0,5,0,0,1,5,1,2,3,1,2,10716.67117,11313.72976,4,4
102544,1,80,3,1,1,1,1,1,0,0,2,1,1,2,1,4,1,1,2,11509.04422,13849.95351,5,5
102545,2,11,2,0,0,0,1,1,0,5,0,0,2,5,2,2,1,3,0,21705.86431,0,5,5
102546,1,41,6,1,2,0,2,2,2,0,2,2,1,3,1,2,0,3,0,11562.69414,13139.16187,12,12
102547,2,8,1,2,0,0,1,1,0,2,0,0,2,5,2,2,2,2,0,14029.52886,13871.82904,5,5
102548,2,28,7,2,2,0,1,1,0,0,5,1,1,2,1,2,3,1,3,39901.17897,40350.47199,4,4
102549,1,12,1,1,0,0,2,2,2,6,0,0,2,7,1,3,1,1,0,21389.22617,22343.88655,99,99
102550,1,9,4,1,0,0,1,1,0,2,0,0,1,4,2,3,2,3,0,10882.53859,13718.01251,4,4
102551,2,58,4,2,2,0,1,1,0,0,4,5,1,5,2,3,2,3,0,12463.15639,12660.25225,99,1
102552,2,9,6,1,0,0,1,1,0,3,0,0,1,5,1,2,2,1,3,10860.44182,11405.85865,7,7
102553,1,50,6,2,2,0,2,2,4,0,5,1,1,1,1,3,3,1,0,15018.68808,15368.28461,9,9
102554,1,66,7,2,2,0,1,1,0,0,3,3,1,4,2,2,1,1,1,34564.40185,33123.82592,6,6
102555,2,61,4,0,2,0,1,1,0,0,2,4,1,1,2,4,1,2,0,8614.571172,0,2,2
102556,1,50,2,1,2,0,1,1,0,0,4,6,1,3,2,2,2,1,2,23282.58114,22960.1519,6,6
102557,2,26,4,0,2,0,1,1,0,0,4,1,1,4,1,2,2,1,2,25458.91488,0,14,14
102558,2,0,2,2,0,0,1,1,0,0,0,0,2,5,2,2,2,1,1,7447.490255,7477.052682,14,14
102559,1,53,1,1,2,0,2,2,5,0,1,1,2,7,1,3,1,1,2,24508.62189,24754.3739,99,99
102560,1,33,7,2,2,0,1,1,0,0,4,1,1,4,1,2,2,1,2,35864.049,36588.42456,8,8
102561,1,9,7,2,0,0,1,1,0,2,0,0,1,4,2,3,3,1,2,9054.065721,9479.40988,15,15
102562,2,38,2,1,2,0,2,2,4,0,3,1,2,2,2,2,2,1,0,22646.90863,27796.61718,0,0
102563,1,0,4,2,0,0,1,1,0,0,0,0,1,7,1,4,2,3,0,3845.234064,4179.22124,13,13
102564,1,1,4,1,0,0,1,1,0,0,0,0,1,6,2,3,2,2,0,7463.613847,8136.933164,9,9
102565,1,5,1,1,0,0,1,1,0,0,0,0,1,4,2,4,2,2,0,37443.79949,40858.93994,6,6
102566,1,12,3,2,0,0,1,1,0,6,0,0,1,4,2,4,2,2,0,31499.32229,32156.98528,7,6
102567,1,7,7,1,0,0,1,1,0,1,0,0,1,5,1,3,3,1,3,12834.66995,13449.67109,15,15
102568,1,23,2,2,2,0,1,1,0,0,4,5,1,5,2,3,1,1,1,44563.30727,45546.38372,3,3
102569,2,3,3,2,0,0,1,1,0,0,0,0,1,5,2,2,2,1,1,26098.86425,28087.33592,4,4
102570,2,14,4,2,0,0,1,1,0,8,0,0,1,5,2,3,1,3,0,13395.54157,13480.99461,5,5
102571,2,10,4,1,0,0,1,1,0,3,0,0,1,6,2,2,2,3,0,11095.5022,11402.77172,13,13
102572,1,72,3,0,1,1,1,1,0,0,4,1,1,2,2,4,2,1,2,10755.07303,0,0,0
102573,1,54,4,2,1,1,1,1,0,0,5,5,1,1,1,3,3,3,0,26240.41276,26337.65565,14,14
102574,1,68,1,1,2,0,2,2,7,0,1,2,2,4,1,4,1,2,0,5073.335347,5057.077264,3,3
102575,1,13,3,1,0,0,1,1,0,6,0,0,1,6,1,2,2,1,2,74259.4814,76941.7416,15,15
102576,1,60,4,2,2,0,1,1,0,0,5,1,1,3,1,4,3,1,3,11269.99413,12041.97094,15,15
102577,1,15,3,1,0,0,1,1,0,66,0,0,1,7,2,2,2,3,0,19850.8888,19484.42032,14,6
102578,1,70,4,1,2,0,1,1,0,0,5,4,1,1,1,4,3,2,0,6074.183873,6353.190297,0,0
102579,2,63,3,1,2,0,1,1,0,0,4,1,1,2,1,4,2,1,2,141538.5532,148635.6539,15,15
102580,2,25,1,1,2,0,2,2,5,0,3,5,1,4,2,2,2,3,0,37343.36452,38448.96491,13,13
102581,1,50,4,2,1,1,1,1,0,0,4,1,1,2,1,3,2,1,2,21657.51252,24869.95598,14,14
102582,2,15,3,2,0,0,1,1,0,9,0,0,1,4,2,2,2,1,1,27790.89039,28565.92986,5,5
102583,2,5,3,1,0,0,1,1,0,0,0,0,1,4,2,2,3,1,2,36347.29789,38334.56941,15,15
102584,1,61,4,0,1,2,1,1,0,0,5,6,1,2,1,4,3,1,0,12521.86283,0,15,15
102585,2,80,1,1,2,0,2,1,9,0,1,2,1,1,2,4,1,2,0,14275.89729,15130.86594,2,2
102586,1,52,1,1,2,0,2,2,7,0,1,1,2,6,1,3,1,1,1,33479.26805,36455.58926,10,10
102587,2,5,3,0,0,0,1,1,0,0,0,0,1,6,1,2,1,1,0,22105.77708,0,8,8
102588,2,68,3,1,2,0,1,1,0,0,4,1,1,2,2,4,2,1,2,34042.23785,32932.20209,5,5
102589,2,24,4,2,2,0,1,1,0,0,2,6,1,4,2,2,1,1,0,19560.60985,21216.07906,4,4
102590,1,80,3,1,1,2,1,1,0,0,3,1,1,2,1,4,2,1,2,11874.12661,13309.62355,6,6
102591,2,59,3,1,2,0,1,1,0,0,4,3,1,3,2,3,2,2,0,137560.1871,139777.4288,14,14
102592,2,14,7,2,0,0,1,1,0,7,0,0,1,5,2,3,2,2,0,10370.9721,10269.54056,6,6
102593,1,39,6,1,2,0,2,1,5,0,5,1,1,7,1,2,3,1,0,24969.06826,23734.03049,15,15
102594,1,0,1,0,0,0,1,1,0,0,0,0,1,7,2,2,2,3,0,4102.009223,0,9,9
102595,2,18,3,2,2,0,1,1,0,15,0,0,1,4,1,3,3,1,1,56484.74582,56733.6349,15,15
102596,2,2,4,0,0,0,1,1,0,0,0,0,1,5,1,2,1,3,0,7595.239103,0,77,77
102597,2,70,3,2,2,0,1,1,0,0,2,1,1,2,1,4,2,1,1,5926.99847,8909.971551,8,8
102598,2,75,6,2,2,0,2,1,8,0,5,2,1,2,2,4,3,2,0,13579.89575,14793.45031,0,0
102599,2,15,6,1,0,0,1,1,0,9,0,0,1,3,2,3,3,1,3,9518.328147,10827.49502,15,15
102600,1,34,6,2,2,0,1,1,0,0,5,1,1,4,1,2,3,1,3,17547.86552,17147.07436,15,15
102601,2,8,4,2,0,0,1,1,0,2,0,0,1,5,2,3,2,0,0,11165.81303,11637.44895,6,6
102602,2,4,3,2,0,0,1,1,0,0,0,0,1,5,2,3,3,1,2,55169.25905,55140.83024,15,15
102603,2,4,7,1,0,0,1,1,0,0,0,0,1,4,2,2,2,1,3,7028.761679,8214.829945,14,14
102604,2,16,6,1,0,0,1,1,0,10,0,0,1,6,1,3,2,1,3,15547.50495,17685.93495,15,15
102605,2,57,4,2,2,0,1,1,0,0,4,1,1,2,1,3,1,1,2,16809.50629,21044.52269,6,6
102606,1,65,4,2,2,0,1,1,0,0,3,2,1,1,1,4,2,2,0,9161.407908,9686.745496,6,6
102607,2,17,3,2,2,0,1,1,0,11,0,0,1,4,1,3,2,1,2,52004.65446,62806.59483,15,15
102608,1,4,2,1,0,0,1,1,0,0,0,0,2,7,2,2,1,1,0,21134.36782,22807.52261,77,77
102609,2,80,3,2,2,0,1,1,0,0,3,3,1,1,2,4,2,2,0,26620.09106,27582.44454,4,4
102610,1,2,6,2,0,0,1,1,0,0,0,0,1,5,2,2,3,1,3,13915.9924,13994.31795,15,15
102611,1,64,3,1,2,0,1,1,0,0,3,3,1,1,1,4,2,2,0,46420.40037,44927.64024,5,5
102612,1,33,3,2,2,0,1,1,0,0,3,1,1,6,2,4,2,2,0,37456.78768,37015.46901,7,7
102613,1,17,4,2,2,0,1,1,0,11,0,0,1,5,1,3,2,1,2,18308.99906,18680.90584,15,15
102614,1,5,3,0,0,0,1,1,0,0,0,0,1,4,1,2,0,1,0,35243.86616,0,0,0
102615,1,79,3,1,2,0,1,1,0,0,2,3,1,3,2,4,0,2,0,14920.53346,16649.57367,6,6
102616,2,56,3,2,2,0,1,1,0,0,4,3,1,3,2,3,2,2,0,196327.4165,192084.5346,14,14
102617,2,63,3,2,2,0,1,1,0,0,4,1,1,2,1,4,0,1,2,112275.3924,118521.4306,10,10
102618,2,70,1,1,2,0,2,1,9,0,1,3,2,1,2,4,1,2,0,23031.24564,24083.67952,2,2
102619,2,61,3,1,2,0,1,1,0,0,3,1,1,2,1,4,2,1,2,266039.1676,261074.0497,14,14
102620,1,48,6,2,2,0,2,1,4,0,5,1,1,3,1,3,3,1,3,15592.73706,15875.29798,0,0
102621,2,32,4,2,2,0,1,1,0,0,2,5,1,7,2,3,2,2,0,22034.55321,23879.20566,9,9
102622,1,46,3,2,1,2,1,1,0,0,4,1,1,6,1,3,2,1,2,32142.1199,32686.33469,9,9
102623,1,66,3,1,2,0,1,1,0,0,3,3,1,1,1,4,2,2,0,25879.88541,27265.49303,2,2
102624,1,56,4,2,1,2,1,1,0,0,3,1,1,3,2,4,2,2,0,31671.38121,32740.64871,10,10
